"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"C1";"C_Disc_D10.0mm_W2.5mm_P5.00mm";1;".01u";;;
2;"C2";"CP_Radial_D10.0mm_P7.50mm";1;"470u";;;
3;"J1";"RJ45_Amphenol_54602-x08_Horizontal";1;"RJ45";;;
4;"J6";"PinSocket_1x16_P2.54mm_Vertical";1;"Conn_01x16_Socket";;;
5;"J7";"PinSocket_1x16_P2.54mm_Vertical";1;"Conn_01x08_Socket";;;
6;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"120Ω";;;
7;"RotaryEncoder";"1481b7bd-967a-4c6f-926d-5fc3a8d29f51";1;"EC12D";;;
8;"RS485toTTL5V_MAX1348_SH-U12";"d20c897a-e8f7-4042-81bd-1f98a1eacd4c";1;"";;;
9;"SW2";"SW_PUSH-12mm";1;"S4_SW_Push";;;
10;"SW3";"SW_PUSH-12mm";1;"S3_SW_Push";;;
11;"SW4";"SW_PUSH-12mm";1;"S2_SW_Push";;;
12;"SW5";"SW_PUSH-12mm";1;"S1_SW_Push";;;
13;"SW6";"SW_PUSH-12mm";1;"MODE_SW_Push";;;
14;"U1";"USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal";1;"USB_C_Receptacle_PowerOnly_6P";;;
15;"U4";"Adafruit_SSD1306_I2c";1;"OLED_SSD1306_128x32_I2C";;;
